clip_name,clip_path,label
v_PullUps_g15_c02,/PullUps/v_PullUps_g15_c02.avi,PullUps
v_PullUps_g14_c02,/PullUps/v_PullUps_g14_c02.avi,PullUps
v_PullUps_g22_c04,/PullUps/v_PullUps_g22_c04.avi,PullUps
v_PullUps_g20_c01,/PullUps/v_PullUps_g20_c01.avi,PullUps
v_PullUps_g21_c03,/PullUps/v_PullUps_g21_c03.avi,PullUps
v_PullUps_g03_c02,/PullUps/v_PullUps_g03_c02.avi,PullUps
v_PullUps_g03_c03,/PullUps/v_PullUps_g03_c03.avi,PullUps
v_PullUps_g17_c04,/PullUps/v_PullUps_g17_c04.avi,PullUps
v_PullUps_g01_c02,/PullUps/v_PullUps_g01_c02.avi,PullUps
v_PullUps_g13_c03,/PullUps/v_PullUps_g13_c03.avi,PullUps
v_PullUps_g02_c02,/PullUps/v_PullUps_g02_c02.avi,PullUps
v_PullUps_g07_c01,/PullUps/v_PullUps_g07_c01.avi,PullUps
v_PullUps_g03_c04,/PullUps/v_PullUps_g03_c04.avi,PullUps
v_PullUps_g15_c01,/PullUps/v_PullUps_g15_c01.avi,PullUps
v_PullUps_g23_c02,/PullUps/v_PullUps_g23_c02.avi,PullUps
v_PullUps_g08_c03,/PullUps/v_PullUps_g08_c03.avi,PullUps
v_PullUps_g18_c04,/PullUps/v_PullUps_g18_c04.avi,PullUps
v_PullUps_g10_c04,/PullUps/v_PullUps_g10_c04.avi,PullUps
v_PullUps_g24_c04,/PullUps/v_PullUps_g24_c04.avi,PullUps
v_PullUps_g14_c01,/PullUps/v_PullUps_g14_c01.avi,PullUps
v_PullUps_g24_c01,/PullUps/v_PullUps_g24_c01.avi,PullUps
v_PullUps_g17_c03,/PullUps/v_PullUps_g17_c03.avi,PullUps
v_PullUps_g11_c03,/PullUps/v_PullUps_g11_c03.avi,PullUps
v_PullUps_g06_c01,/PullUps/v_PullUps_g06_c01.avi,PullUps
v_PullUps_g20_c04,/PullUps/v_PullUps_g20_c04.avi,PullUps
v_PullUps_g01_c01,/PullUps/v_PullUps_g01_c01.avi,PullUps
v_PullUps_g02_c03,/PullUps/v_PullUps_g02_c03.avi,PullUps
v_PullUps_g02_c01,/PullUps/v_PullUps_g02_c01.avi,PullUps
v_PullUps_g11_c04,/PullUps/v_PullUps_g11_c04.avi,PullUps
v_PullUps_g20_c02,/PullUps/v_PullUps_g20_c02.avi,PullUps
v_PullUps_g23_c01,/PullUps/v_PullUps_g23_c01.avi,PullUps
v_PullUps_g09_c04,/PullUps/v_PullUps_g09_c04.avi,PullUps
v_PullUps_g13_c01,/PullUps/v_PullUps_g13_c01.avi,PullUps
v_PullUps_g16_c03,/PullUps/v_PullUps_g16_c03.avi,PullUps
v_PullUps_g21_c04,/PullUps/v_PullUps_g21_c04.avi,PullUps
v_PullUps_g22_c03,/PullUps/v_PullUps_g22_c03.avi,PullUps
v_PullUps_g08_c04,/PullUps/v_PullUps_g08_c04.avi,PullUps
v_PullUps_g01_c03,/PullUps/v_PullUps_g01_c03.avi,PullUps
v_PullUps_g10_c02,/PullUps/v_PullUps_g10_c02.avi,PullUps
v_PullUps_g25_c02,/PullUps/v_PullUps_g25_c02.avi,PullUps
v_PullUps_g21_c02,/PullUps/v_PullUps_g21_c02.avi,PullUps
v_PullUps_g15_c04,/PullUps/v_PullUps_g15_c04.avi,PullUps
v_PullUps_g10_c03,/PullUps/v_PullUps_g10_c03.avi,PullUps
v_PullUps_g06_c03,/PullUps/v_PullUps_g06_c03.avi,PullUps
